ott,status_code
10,LC
1000007,EN
1000029,LC
1000051,EN
1000129,DD
1000209,LC
1000238,LC
1000311,LC
1000333,LC
1000335,LC
1000338,LC
1000340,LC
1000408,LC
1000444,LC
1000485,CR
1000515,LC
1000524,NT
1000550,LC
1000561,LC
1000573,LC
1000575,LC
1000577,EN
1000580,LC
1000585,LC
1000591,VU
1000645,LC
1000659,LC
1000663,LC
100068,DD
1000695,LC
1000702,LC
1000720,LC
1000752,LC
1000755,LC
1000778,LC
100086,LC
100092,LC
1000930,LC
1000931,LC
1000934,LC
1000937,LC
100094,LC
1000940,LC
1000941,LC
1000943,LC
1000956,LC
100098,LC
100102,LC
1001027,LC
1001050,EN
1001067,LC
1001100,EN
100111,EN
1001197,EN
1001259,LC
1001312,LC
1001432,LC
1001438,LC
1001442,LC
1001449,VU
1001452,EN
1001460,LC
1001464,LC
1001472,LC
1001488,EN
1001503,EN
1001526,LC
1001533,NT
1001535,LC
1001551,NT
1001553,NT
1001667,CR
1001706,LC
1001715,LC
100172,LC
1001769,NT
1001771,EN
1001778,LC
100179,VU
1001807,CR
100182,VU
1001825,VU
1001870,DD
1001872,LC
1001875,DD
1001878,DD
1001880,VU
1001888,LC
1001943,LC
100196,LC
1001977,LC
1001992,LC
1002019,CR
1002063,VU
1002066,LC
1002113,LC
1002151,LC
1002189,NT
1002233,LC
1002234,LC
1002235,LC
1002259,LC
1002298,LR/nt
1002309,NT
1002383,LC
1002401,LC
1002419,NT
1002448,DD
1002457,LC
1002460,VU
1002482,NT
1002555,LC
1002559,LC
1002563,LC
1002573,VU
1002596,LC
1002603,LC
1002607,LC
1002644,LC
1002661,EN
1002674,DD
1002681,LC
1002707,LC
1002718,LC
1002762,LC
1002779,LC
1002780,LC
1002816,LC
1002819,LC
1002839,VU
10029,LC
1003027,LC
1003034,VU
1003044,NT
1003053,LC
1003116,LC
1003118,LC
1003125,LC
1003126,LC
1003142,LC
1003190,LC
1003203,LC
1003214,LC
1003301,LC
1003304,LC
1003339,VU
1003346,EN
1003351,LC
1003422,LC
1003425,LC
1003485,LC
1003553,NT
1003677,LC
1003686,LC
100369,LC
1003691,LC
1003694,VU
1003702,NT
1003706,LC
1003710,LC
1003731,LC
1003744,LC
1003796,LC
1003798,LC
1003800,LC
1003802,DD
1003805,EN
1003807,NT
1003811,DD
1003837,EN
1003843,LC
1003845,DD
1003848,NT
1003850,LC
1003882,LC
1003884,LC
1003886,VU
1003906,LC
1003911,EN
1003913,LC
1003915,LC
100399,LC
1004006,LC
100410,LC
1004127,LC
1004147,LC
1004150,LC
1004152,LC
1004154,LC
1004156,LC
1004158,LC
1004160,LC
1004162,LC
1004164,LC
1004217,VU
1004231,VU
1004236,VU
1004267,EN
1004276,LC
1004280,VU
1004355,LC
1004358,LC
1004531,LC
1004550,LC
1004552,LC
1004554,CR
1004570,LC
1004579,LC
1004585,LC
1004605,LC
1004607,LC
1004609,LC
1004611,LC
1004613,NT
1004615,NT
1004619,EN
1004622,NT
1004624,DD
1004626,LC
1004633,LC
1004636,EN
1004646,VU
1004664,LC
1004667,LC
1004762,LC
1004782,LC
1004790,LC
1004816,LC
1004821,LC
1004835,NT
1004845,EN
1004862,LC
1004864,DD
1004866,LC
1004883,LC
1004891,LC
1004953,NT
1004982,EN
1005030,LC
1005035,LC
1005131,DD
1005156,LC
1005161,EN
10053,LC
1005352,VU
1005381,LC
1005432,LC
1005452,LC
1005585,LC
1005591,LC
100564,CR
1005677,NT
1005680,LC
100569,LC
100573,LC
1005748,LC
10058,NT
1005849,DD
1005850,NT
1005856,LC
1005859,LC
1005883,LC
10059,NT
1005907,LC
1005914,LC
1005932,LC
1006056,LC
1006062,LC
1006073,LC
1006091,LC
1006099,EN
10061,EN
1006197,LC
10062,LC
1006229,VU
1006284,LC
1006288,VU
1006329,DD
1006394,LC
1006395,EN
1006402,LC
1006407,LC
1006424,VU
1006459,LC
1006491,LC
1006534,DD
1006568,LC
1006591,LC
1006604,LC
1006650,LC
1006757,EN
1006763,LC
1006769,LC
1006773,LC
1006797,LC
1006804,LC
1006806,LC
1006808,LC
1006810,LC
1006812,LC
1006814,LC
1006852,LC
1006854,LC
1006861,LC
1006863,LC
