RL.cat,pext
LC,0.001840783
LC,0.001908771
LC,0.001976727
LC,0.002044653
LC,0.002112547
LC,0.002180411
LC,0.002248243
LC,0.002316044
LC,0.002383815
LC,0.002451554
LC,0.002519263
LC,0.00258694
LC,0.002654587
LC,0.002722202
LC,0.002789787
LC,0.00285734
LC,0.002924863
LC,0.002992355
LC,0.003059816
LC,0.003127246
LC,0.003194646
LC,0.003262014
LC,0.003329352
LC,0.003396659
LC,0.003463935
LC,0.00353118
LC,0.003598395
LC,0.003665579
LC,0.003732732
LC,0.003799854
LC,0.003866946
LC,0.003934007
LC,0.004001037
LC,0.004068037
LC,0.004135006
LC,0.004201944
LC,0.004268852
LC,0.004335729
LC,0.004402576
LC,0.004469392
LC,0.004536177
LC,0.004602932
LC,0.004669656
LC,0.00473635
LC,0.004803013
LC,0.004869646
LC,0.004936248
LC,0.00500282
LC,0.005069361
LC,0.005135872
LC,0.005202352
LC,0.005268802
LC,0.005335222
LC,0.005401611
LC,0.005467969
LC,0.005534298
LC,0.005600596
LC,0.005666864
LC,0.005733101
LC,0.005799308
LC,0.005865485
LC,0.005931631
LC,0.005997748
LC,0.006063834
LC,0.006129889
LC,0.006195915
LC,0.00626191
LC,0.006327875
LC,0.00639381
LC,0.006459715
LC,0.006525589
LC,0.006591434
LC,0.006657248
LC,0.006723032
LC,0.006788786
LC,0.00685451
LC,0.006920204
LC,0.006985868
LC,0.007051501
LC,0.007117105
LC,0.007182679
LC,0.007248222
LC,0.007313736
LC,0.007379219
LC,0.007444673
LC,0.007510097
LC,0.00757549
LC,0.007640854
LC,0.007706188
LC,0.007771492
LC,0.007836766
LC,0.00790201
LC,0.007967225
LC,0.008032409
LC,0.008097564
LC,0.008162689
LC,0.008227784
LC,0.008292849
LC,0.008357884
LC,0.00842289
LC,0.008487866
LC,0.008552812
LC,0.008617729
LC,0.008682615
LC,0.008747472
LC,0.0088123
LC,0.008877097
LC,0.008941865
LC,0.009006604
LC,0.009071312
LC,0.009135991
LC,0.009200641
LC,0.009265261
LC,0.009329851
LC,0.009394412
LC,0.009458943
LC,0.009523445
LC,0.009587917
LC,0.009652359
LC,0.009716772
LC,0.009781156
LC,0.00984551
LC,0.009909835
LC,0.00997413
LC,0.010038396
LC,0.010102632
LC,0.010166839
LC,0.010231017
LC,0.010295165
LC,0.010359284
LC,0.010423373
LC,0.010487433
LC,0.010551464
LC,0.010615466
LC,0.010679438
LC,0.010743381
LC,0.010807295
LC,0.010871179
LC,0.010935034
LC,0.01099886
LC,0.011062657
LC,0.011126424
LC,0.011190163
LC,0.011253872
LC,0.011317552
LC,0.011381203
LC,0.011444824
LC,0.011508417
LC,0.011571981
LC,0.011635515
LC,0.01169902
LC,0.011762497
LC,0.011825944
LC,0.011889362
LC,0.011952751
LC,0.012016111
LC,0.012079442
LC,0.012142744
LC,0.012206018
LC,0.012269262
LC,0.012332477
LC,0.012395663
LC,0.012458821
LC,0.012521949
LC,0.012585049
LC,0.01264812
LC,0.012711162
LC,0.012774175
LC,0.012837159
LC,0.012900114
LC,0.012963041
LC,0.013025939
LC,0.013088808
LC,0.013151648
LC,0.013214459
LC,0.013277242
LC,0.013339996
LC,0.013402721
LC,0.013465418
LC,0.013528086
LC,0.013590725
LC,0.013653336
LC,0.013715917
LC,0.013778471
LC,0.013840995
LC,0.013903492
LC,0.013965959
LC,0.014028398
LC,0.014090808
LC,0.01415319
LC,0.014215543
LC,0.014277868
LC,0.014340164
LC,0.014402432
LC,0.014464671
LC,0.014526882
LC,0.014589064
LC,0.014651218
LC,0.014713343
LC,0.01477544
LC,0.014837509
LC,0.014899549
LC,0.014961561
LC,0.015023545
LC,0.0150855
LC,0.015147427
LC,0.015209325
LC,0.015271195
LC,0.015333037
LC,0.015394851
LC,0.015456636
LC,0.015518393
LC,0.015580122
LC,0.015641823
LC,0.015703495
LC,0.015765139
LC,0.015826755
LC,0.015888343
LC,0.015949903
LC,0.016011434
LC,0.016072938
LC,0.016134413
LC,0.01619586
LC,0.016257279
LC,0.01631867
LC,0.016380033
LC,0.016441368
LC,0.016502675
LC,0.016563954
LC,0.016625205
LC,0.016686427
LC,0.016747622
LC,0.016808789
LC,0.016869928
LC,0.016931039
LC,0.016992122
LC,0.017053177
LC,0.017114205
LC,0.017175204
LC,0.017236175
LC,0.017297119
LC,0.017358035
LC,0.017418923
LC,0.017479783
LC,0.017540615
LC,0.01760142
LC,0.017662196
LC,0.017722945
LC,0.017783667
LC,0.01784436
LC,0.017905026
LC,0.017965664
LC,0.018026274
LC,0.018086857
LC,0.018147412
LC,0.018207939
LC,0.018268439
LC,0.018328911
LC,0.018389355
LC,0.018449772
LC,0.018510162
LC,0.018570523
LC,0.018630857
LC,0.018691164
LC,0.018751443
LC,0.018811694
LC,0.018871918
LC,0.018932115
LC,0.018992284
LC,0.019052425
LC,0.01911254
LC,0.019172626
LC,0.019232685
LC,0.019292717
LC,0.019352722
LC,0.019412699
LC,0.019472648
LC,0.019532571
LC,0.019592466
LC,0.019652333
LC,0.019712174
LC,0.019771987
LC,0.019831772
LC,0.019891531
LC,0.019951262
LC,0.020010966
LC,0.020070642
LC,0.020130292
LC,0.020189914
LC,0.020249509
LC,0.020309077
LC,0.020368618
LC,0.020428131
LC,0.020487618
LC,0.020547077
LC,0.020606509
LC,0.020665914
