leaf_name,iucn_status,domain,kingdom,phylum,N,EDGE2_mean,min,2.5pct,median,97.5pct,max,ED2_mean,min,2.5pct,median,97.5pct,max,p_ext_mean,min,2.5pct,median,97.5pct,max
Aegotheles_savesi_ott705947,CR,no_domain,no_kingdom,no_phylum,1000,28.378592,21.518264,21.816451,30.089814,31.255504,31.280953,31.205101,31.163933,31.165506,31.202214,31.269449,31.284457,0.909425,0.690072,0.699347,0.964018,0.999900,0.999900
Sagittarius_serpentarius_ott1036186,EN,no_domain,no_kingdom,no_phylum,1000,27.782563,19.223544,19.657576,27.237087,38.164559,38.652649,56.111400,56.111400,56.111400,56.111400,56.111400,56.111400,0.495132,0.342596,0.350331,0.485411,0.680157,0.688856
Sylviornis_sp._ott0000,No status,no_domain,no_kingdom,no_phylum,1000,26.869139,0.279868,1.710445,18.388822,67.675832,67.675832,67.682600,67.682600,67.682600,67.682600,67.682600,67.682600,0.396987,0.004135,0.025272,0.271692,0.999900,0.999900
Macrocephalon_maleo_ott750781,CR,no_domain,no_kingdom,no_phylum,1000,26.179792,19.743697,20.107677,28.233390,28.577942,28.577942,28.580800,28.580800,28.580800,28.580800,28.580800,28.580800,0.915992,0.690803,0.703538,0.987845,0.999900,0.999900
Calyptura_cristata_ott279307,CR,no_domain,no_kingdom,no_phylum,1000,25.915970,19.530861,19.926450,27.931707,28.330224,28.330696,28.331955,28.331500,28.331511,28.331751,28.333275,28.333529,0.914726,0.689342,0.703328,0.985883,0.999900,0.999900
Gallicolumba_menagei_ott3596518,CR,no_domain,no_kingdom,no_phylum,1000,24.178216,18.350207,18.591282,25.706629,26.624321,26.669138,26.576329,26.519872,26.523927,26.575334,26.643089,26.684461,0.909769,0.690072,0.699365,0.967716,0.999900,0.999900
Pandion_haliaetus_ott509837,EN,no_domain,no_kingdom,no_phylum,1000,23.858029,16.484686,16.727717,23.292478,32.518389,33.073813,48.046600,48.046600,48.046600,48.046600,48.046600,48.046600,0.496560,0.343098,0.348156,0.484789,0.676809,0.688369
Didunculus_strigirostris_ott506109,CR,no_domain,no_kingdom,no_phylum,1000,23.309795,17.650963,17.974813,24.981399,25.691764,25.723353,25.624454,25.554872,25.560939,25.619747,25.702618,25.725925,0.909667,0.689342,0.701838,0.975954,0.999900,0.999900
Aythya_innotata_ott3595901,CR,no_domain,no_kingdom,no_phylum,1000,20.399814,15.385944,15.670262,22.041479,22.262474,22.262474,22.264700,22.264700,22.264700,22.264700,22.264700,22.264700,0.916240,0.691047,0.703816,0.989974,0.999900,0.999900
Ptilinopus_subgularis_ott3596585,No status,no_domain,no_kingdom,no_phylum,1000,19.863331,0.130760,1.136116,12.954062,54.847785,54.847785,54.853270,54.853270,54.853270,54.853270,54.853270,54.853270,0.362118,0.002384,0.020712,0.236158,0.999900,0.999900
Ptilinopus_speciosus_ott6520634,No status,no_domain,no_kingdom,no_phylum,1000,19.856571,0.112509,0.853657,12.085953,55.020297,55.020297,55.025800,55.025800,55.025800,55.025800,55.025800,55.025800,0.360859,0.002045,0.015514,0.219642,0.999900,0.999900
Pseudobulweria_aterrima_ott172670,CR,no_domain,no_kingdom,no_phylum,1000,19.488356,13.170752,14.542495,20.019278,22.376706,22.442364,21.340352,18.880332,19.138556,21.929816,22.414373,22.444609,0.912950,0.689342,0.701338,0.973040,0.999900,0.999900
Pseudobulweria_macgillivrayi_ott212085,CR,no_domain,no_kingdom,no_phylum,1000,19.487066,13.267772,14.416237,19.951973,22.376706,22.442364,21.341555,18.875329,19.106394,21.967063,22.411477,22.444609,0.912839,0.689342,0.702827,0.967555,0.999900,0.999900
