uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
356640	|	195928	|	Torpediniformes	|	order	|	ncbi:117888,worms:10215,gbif:881,irmng:11530	|		|		|	
356637	|	356640	|	Hypnidae	|	family	|	ncbi:117889,worms:475045,gbif:5879,irmng:111139	|	Hypnidae (family in Opisthokonta)	|		|	
932206	|	356637	|	Hypnos	|	genus	|	ncbi:117890,worms:269450,gbif:2420563,irmng:1282544	|		|		|	
73020	|	932206	|	Hypnos monopterygius	|	species	|	ncbi:257756,worms:314648,gbif:2420564,irmng:10774798	|		|		|	
4139357	|	356640	|	unclassified Torpediniformes	|	no rank - terminal	|	ncbi:727674	|		|	not_otu,was_container	|	
553102	|	356640	|	Torpedinidae	|	family	|	ncbi:30480,worms:105718,gbif:5871,irmng:114176	|		|		|	
493411	|	553102	|	Torpedo	|	genus	|	ncbi:7786,worms:826639,gbif:8169455,irmng:1021706	|		|	sibling_higher	|	
7060769	|	493411	|	unclassified Torpedo	|	no rank - terminal	|	ncbi:2599791	|		|	not_otu,was_container	|	
232016	|	493411	|	Torpedo fuscomaculata	|	species	|	ncbi:1003816,worms:217379,gbif:5215527,irmng:10716196	|		|	sibling_higher	|	
3594649	|	493411	|	Torpedo panthera	|	species	|	ncbi:1622304,worms:217381,gbif:5215529,irmng:10163608	|		|	sibling_higher	|	
553105	|	493411	|	Torpedo ocellata	|	species	|	ncbi:30481	|		|	sibling_higher	|	
254411	|	493411	|	Torpedo sinuspersici	|	species	|	ncbi:1213716,worms:217380,gbif:5215548,irmng:11178111	|		|	sibling_higher	|	
372007	|	493411	|	Torpedo mackayana	|	species	|	ncbi:1213715,worms:271682,gbif:5215533,irmng:10345646	|		|	sibling_higher	|	
355116	|	493411	|	Torpedo torpedo	|	species	|	ncbi:1213717,worms:271691,gbif:5215534,irmng:10840915	|		|	sibling_higher	|	
493406	|	493411	|	Torpedo marmorata	|	species	|	ncbi:7788,worms:271684,gbif:5215518,irmng:10832056	|		|	sibling_higher	|	
7060767	|	493411	|	Torpedo sp. 1 KJ-2019	|	species	|	ncbi:2599792	|		|	incertae_sedis	|	
5744207	|	493411	|	Torpedo sp. A KKB-2014	|	species	|	ncbi:1455695	|		|	incertae_sedis	|	
467157	|	493411	|	Torpedo sp.	|	species	|	ncbi:70732	|		|	not_otu,incertae_sedis	|	
