Clade,Species richness,Dated nodes,Date coverage,Date source trees,Phylogenetic coverage
All Life,"2,294,776","76,964",3.4%,"335",6.8%
Eukaryota,"2,215,635","76,926",3.5%,"334",6.9%
Metazoa,"1,475,149","41,210",2.8%,"286",5.7%
Chordata,"82,902","29,737",35.9%,"225",47.4%
Actinopteri,"37,408","11,182",29.9%,"31",36.9%
Squamata,"11,226","4,113",36.6%,"16",40.8%
Aves,"10,926","8,762",80.2%,"129",93.5%
Amphibia,"9,835","1,937",19.7%,"7",57.3%
Mammalia,"7,965","2,994",37.6%,"49",50.2%
Chondrichthyes,"1,653","537",32.5%,"6",39.2%
Testudines,"326","171",52.6%,"5",96.8%
Arthropoda,"1,183,220","10,545",0.9%,"58",3.3%
Pancrustacea,"1,068,465","10,300",1.0%,"55",3.6%
Insecta,"984,717","9,627",1.0%,"49",3.6%
Coleoptera,"286,852","658",0.2%,"10",2.8%
Lepidoptera,"182,575","2,210",1.2%,"9",3.5%
Diptera,"166,904","235",0.1%,"4",2.2%
Hymenoptera,"142,383","5,830",4.1%,"16",6.9%
Hemiptera,"103,698","255",0.2%,"6",2.3%
Odonata,"6,314","104",1.6%,"5",18.6%
Malacostraca,"48,796","590",1.2%,"6",3.2%
Copepoda,"15,765","0",0.0%,"0",4.0%
Branchiopoda,"2,468","25",1.0%,"3",1.9%
Chelicerata,"96,446","209",0.2%,"4",0.8%
Myriapoda,"18,309","34",0.2%,"2",0.2%
Mollusca,"88,048","212",0.2%,"13",1.1%
Platyhelminthes,"25,209","20",0.1%,"1",1.0%
Annelida,"22,979","13",0.1%,"10",2.1%
Nematoda,"19,802","95",0.5%,"3",2.0%
Cnidaria,"15,436","190",1.2%,"11",14.1%
Porifera,"10,134","38",0.4%,"3",7.8%
Echinodermata,"8,715","47",0.5%,"11",3.1%
Bryozoa,"7,299","287",3.9%,"1",5.0%
Tardigrada,"1,473","3",0.2%,"1",0.6%
Chloroplastida,"426,731","35,200",8.2%,"48",15.1%
Tracheophyta,"390,259","34,811",8.9%,"46",16.1%
Magnoliopsida,"373,446","30,698",8.2%,"41",15.5%
Polypodiopsida,"13,241","3,618",27.3%,"6",29.7%
Bryophyta,"16,977","204",1.2%,"3",5.3%
Marchantiophyta,"9,588","151",1.6%,"4",3.4%
Chlorophyta,"6,871","23",0.3%,"1",2.4%
Rhodophyta,"9,274","8",0.1%,"1",1.6%
Fungi,"247,149","396",0.2%,"4",1.4%
Ascomycota,"163,298","187",0.1%,"3",1.2%
Basidiomycota,"78,417","201",0.3%,"2",1.8%
Microsporidia,"1,466","0",0.0%,"0",0.8%
SAR,"51,094","76",0.1%,"2",1.6%
Stramenopiles,"20,087","46",0.2%,"2",2.5%
Alveolata,"14,857","18",0.1%,"2",1.7%
Rhizaria,"16,150","10",0.1%,"2",0.3%
Archaea,"1,507","6",0.4%,"1",8.8%
Bacteria,"77,634","31",0.0%,"2",3.9%
